Project Name,Architect,Year,City,Continent,Project Type,Aspect,image link?,Source,Primary Source,Secondary Sources,Summary,,,,,,,,,,,,,,
"""Terra - The Sustainability Pavilion Dubai Expo 2020""","""Grimshaw""","""2020""","""Dubai, United Arab Emirates""","""asia""","""built project""","""site, water, energy""","""https://grimshaw.global/projects/dubai-expo-2020-sustainability-pavilion/""","""https://grimshaw.global/projects/dubai-expo-2020-sustainability-pavilion/, https://www.dezeen.com/awards/2021/longlists/terra-the-sustainability-pavilion-dubai-expo-2020/""",,,"""Terra - The Sustainability Pavilion in the Dubai Expo 2020 by Grimshaw draws inspiration from the natural processes in the unique site of Dubai, where the design attempts to capture energy from the sunlight and water from the humid atmosphere. The aim of the pavilion is to achieve net-zero, which centred the design on efficiency. Since the pavilion took into account the extreme conditions inherent in the location in order to maximise comfort, it belongs under the Site and People categories.Since there is minimal shade on the site (with temperatures rising to 50 degrees celcius during the summer), the earth roof system sought to bring shade where people can enjoy activities and relax. The earth also had insulating properties, which helped the structure shade its users from the harsh sunlight. The flora and fauna from nearby locations were placed on the roofs so that a water efficient landscape was created to filter and supply water.""",,,,,,,,,,,,,,
"""House in No Man's Land""","""Hoff Architects and Sierra Boaz Cobb""","""2020""","""MV, Germany""","""europe""","""built project""","""technical metabolism, site, energy""","""https://www.dezeen.com/awards/2021/longlists/house-in-no-mans-land/""","""https://www.dezeen.com/awards/2021/longlists/house-in-no-mans-land/, https://www.hoffarchitects.com/projects/no-mans-land""",,,"""House in No Man's Land, by Hoff Architects and Sierra Boaz Cobb, is a renovation project of an old, 19th century farmhouse in East Germany. The renovation doesn't destroy the original construction but instead aims to reveal parts of it to celebrate the long history the house represents. For instance, the brick facade and the timber framing are kept, with touches made by including sustainable interventions such as a steel staircase that reduces the amount of space wasted by circulation. Net-zero energy consumption was achieved through installing solar shingles and a geothermal system. Hence, such attempts to leave elements of the past to coexist with the new construction shows how the project attempts to fully reuse what is there while improving parts that need development.""",,,,,,,,,,,,,,
"""Sands End Arts and Community Centre""","""Mæ""","""2020""","""London, UK""","""europe""","""built project""","""technical metabolism, people, site""","""https://www.archdaily.com/956985/sands-end-arts-and-community-centre-mae-architects""","""https://www.archdaily.com/956985/sands-end-arts-and-community-centre-mae-architects, https://www.dezeen.com/awards/2021/longlists/sands-end-arts-and-community-centre/""",,,"""The Sands End Arts and Community Centre by Mæ, located in London, the United Kingdom, intends to serve as a space for social and educational activities, encouraging community involvement. A range of facilities, from a cafe, nursery, to rooms for clubs, aim to enhance social sustainability and the well-being of the residents overall, hence placing the project under the People category. The architects also employ recyclable materials to reduce the impact on the environment, where 35% of the building material is recycled. Additionally, CLT structures built to have low embodied energy are connected using bolted connections instead of glued, taking into account the fact that the disassembled parts of the building will be used to construct other projects. The brick facade also allows the upcycling of 28 tonnes of construction landfill material.""",,,,,,,,,,,,,,
"""Renewal Koning Willem I College""","""Nieuwe Architecten""","""2021""","""Bolduque, The Netherlands""","""europe""","""built project""","""technical metabolism, people, circular economy""","""https://www.archdaily.com/975741/renewal-koning-willem-i-college-nieuwe-architecten""","""https://www.archdaily.com/975741/renewal-koning-willem-i-college-nieuwe-architecten, https://www.dezeen.com/awards/2021/longlists/wooden-entrance-building-koning-willem-i-college/""",,,"""The addition to the Koning Willem I College in Bolduque, The Netherlands, is a 5 storey building with a wooden structure. The architects, Nieuwe Architecten, have aimed for a fully flexible and adaptable structure, where the diagonal elements of the structure enable divisible floors. Not only does the building use lightweight construction, but it also enables the transformation of the floor layout on the educational space. Therefore, the key characteristic of the building to accommodate to the needs of the occupants (hence enhancing social sustainability and liveability) makes it go under the People aspect.""",,,,,,,,,,,,,,
"""Integral""","""Ronald Lu & Partners""","""2019""","""Guilin, China""","""asia""","""built project""","""site, people, health, water""","""https://www.archdaily.com/941325/integral-ronald-lu-and-partners""","""https://www.archdaily.com/941325/integral-ronald-lu-and-partners, https://www.dezeen.com/awards/2021/longlists/integral-2/""",,,"""Integral, located in Guilin, China, contains a textile workshop, craft centre, botanical garden, and numerous other facilities such as exhibition halls. The architects in charge of the project, Ronald Lu & Partners, aimed to transform the image of the textile company as a ""low-tech"" industry through incorporating conservation elements to the design. Not only did they try to recycle water and grow local species in the gardens, but they also attempted to harmonise the users and the people around the site. The project is an example of how Site played a role in sustainability, and this is visible in the use of the physical topography and the choice of building materials. The reference to the culture of Guilin was made through restoring the manufacturing, agricultural, and tourism industries that pre-existed on the site with the wetland that was present. Blue bricks, grey tiles, and bamboo panels were materials common to the locals; therefore the architects used the bricks and recycled bamboo for the facade of the main building. This successfully referenced the culture of the village and reduced the environmental impact.""",,,,,,,,,,,,,,
"""Powerhouse Telemark""","""Snøhetta""","""2020""","""Porsgrunn, Norway""","""europe""","""built project""","""people, site, energy""","""https://www.archdaily.com/950507/powerhouse-telemark-snohetta""","""https://www.archdaily.com/950507/powerhouse-telemark-snohetta, https://www.dezeen.com/awards/2021/longlists/powerhouse-telemark/""",,,"""Powerhouse Telemark by Snøhetta, located in Porsgrunn, Norway, sets the new standard for sustainable buildings, especially in the context of a global pandemic, by reducing its yearly net energy consumption by 70% when compared to other offices that have been built recently. The tilt on the roof ensures the maximisation of solar energy produced from the photovoltaic cells, while the wooden facade provides adequate shading where there is too much exposure to sunlight. The project makes references to certain aspects of the Site through its 45° notch on the east facade, making it iconic among the industrial context of Porsgrunn. Flexibility of the interior space was achieved by assigning the same materiality and colour for all the floors within the building; the client is thus able to expand, reduce, and change the spaces without having to relocate to a different building. The impact on the environment was minimised through using wooden debris, recycled fishing nets, and local materials that have been left exposed.""",,,,,,,,,,,,,,
"""Anandaloy Centre""","""Studio Anna Heringer""","""2020""","""Rudrapur, Bangladesh""","""asia""","""built project""","""people, site, fabrication""","""https://www.archdaily.com/950681/anandaloy-center-studio-anna-heringer""","""https://www.archdaily.com/950681/anandaloy-center-studio-anna-heringer, https://www.dezeen.com/awards/2021/longlists/anandaloy-centre-for-people-with-disabilities-dipdii-textiles-studio/""",,,"""The Anandaloy Centre by Studio Anna Heringer is a place for people with disabilities and it also contains a studio for the production of textiles on the second floor. The project is heavily based on the context and therefore the Site; not only were local materials used to build the centre, but manual labour from the community members was also heavily valued. Mud and bamboo from local farms were used, a large portion of the construction budget was dedicated to hiring local craftsmen and craftswomen - hence, the project represented a revitalisation of Rudrapur, Bangladesh. As having a disability was regarded as something shameful in Bangladesh, the building was a place for therapy; people could feel a sense of belonging, while women could find jobs as tailors in the textiles studio without having to travel far away to earn a living. Overall, the centre served as the beginning of local development in the town.""",,,,,,,,,,,,,,
"""PANNAR Sufficiency Economic and Agriculture Learning Centre""","""Vin Varavarn Architects""","""2021""","""Nai Mueang, Thailand""","""asia""","""built project""","""people, site, water""","""https://www.archdaily.com/971755/pannar-sufficiency-economic-and-agriculture-learning-center-vin-varavarn-architects""","""https://www.archdaily.com/971755/pannar-sufficiency-economic-and-agriculture-learning-center-vin-varavarn-architects, https://www.dezeen.com/awards/2021/longlists/pannar-sufficiency-economic-and-agriculture-learning-center/""",,,"""The PANNAR Project in Nai Mueang, Thailand, was designed and built with the aim to inspire the King's Sufficiency Economic Philoosophy to the Thai population. The two-storey building, designed by Vin Varavarn Architects, can accommodate various events such as seminars and workshops. It was largely influenced by the culture of the Site; the traditional structure of bamboo huts and shacks were employed by using local materials and local craftsmanship. The bamboo roofs also aid in the collection of rainwater, which reaches canals surrounding the site and eventually reservoirs that are used during droughts.""",,,,,,,,,,,,,,
"""Citizen.MDW""","""ZWEI Interior Architecture""","""2020""","""Melbourne VIC, Australia""","""oceania""","""built project""","""biological metabolism, water, circular economy""","""https://archello.com/project/citizenmdw""","""https://archello.com/project/citizenmdw, https://www.dezeen.com/awards/2021/longlists/citizenmdw/""",,,"""Citizen.MDW is a temporary popup cafe designed by ZWEI Interior Architecture as part of the Melbourne Design Week in Australia. The cafe operates within the ethos of achieving a circular economy, and materials have been chosen accordingly - sustainable qualities and minimum impact on the environment were factors prioritised over other features. The project belongs under the Urban Mine and Water aspects; reused milk crates were folded and interlocked with each other vertically. The crates can also be broken down after deconstruction to form plastic flakes for post-consumer plastic sheeting. Not only that, but the architect showcased mushrooms grown from coffee waste, so that the waste is prevented from ending up in landfills. Water is reused through placing gutters and runs that collect rainwater from the roof; although it is not drinkable, it can be reused for other purposes within the building and the Design events.""",,,,,,,,,,,,,,
"""Araksa Tea House""","""Simple Architecture""","""2018""","""Chiangmai, Thailand""","""asia""","""built project""","""site""","""https://www.simplearchitecture.net/""","""https://www.simplearchitecture.net/, https://www.dezeen.com/awards/2021/longlists/araksa-tea-house/""",,,"""Araksa Tea House by Simple Architecture is located in Chiangmai, Thailand and the design is heavily based on the Site, which has one of the oldest tea gardens in the country. The area hasn't been exposed to pesticides for over 15 years, and the way the tea house was designed was affected by the undisturbed nature of the local environment. Local soil wwas used to build the bricks for the facade, and local white soil was used for the plaster. Even the columns were built out of reused wood, while the roof was constructed using tiles produced by the local factory. Therefore, much of the building materials and the design concept were based on the Site and the key characteristics of the surrounding environment.""",,,,,,,,,,,,,,
"""The Well House""","""Atlas Studio""","""2020""","""Guizhou, China""","""asia""","""built project""","""site, technical metabolism, energy""","""https://www.archdaily.com/952691/the-well-house-atlas""","""https://www.archdaily.com/952691/the-well-house-atlas, https://www.dezeen.com/awards/2021/longlists/the-well-house/""",,,"""The Well House, located in Guizhou, China, is a boutique hotel that aims to renovate the existing wooden building while blending into the context of the village. While certain aspects of the traditional building were kept, modern interventions were made to enhance comfort. For instance, the installation of large windows opened up views for the guests, but the overall building height was adjusted so that the skyline was left undisturbed. On top of the engagement with the Site, the architects, Atlas Studio, also attempted to reuse traditional building methods while harmonising it with contemporary elements to create a ""unified whole."" While the wooden building was already successful in addressing the climatic conditions in the area, the architects added heating, weatherproofing, and soundproofing to further the sense of tranquility. The facade was also designed so that natural ventilation was possible (air was captured from the valley), hence reducing energy consumption.""",,,,,,,,,,,,,,
"""Cranmer Road, King's College""","""Allies and Morrison""","""2020""","""Cambridge, UK""","""europe""","""built project""","""site, energy, fabrication""","""https://www.alliesandmorrison.com/projects/kings-college-cambridge""","""https://www.dezeen.com/awards/2021/longlists/cranmer-road-kings-college-2/, https://www.alliesandmorrison.com/projects/kings-college-cambridge""",,,"""Cranmer Road, King's College, is a student housing building for Cambridge University in the United Kingdom. Designed by Allies and Morrison, the new student accommodation consists of two parts - the Garden Building and the Villa Building - that aim to enhance the well-being of the residents on campus. One key challenge to the project was integrating the pre-existing buildings, while taking into account the West Cambridge Conservation Area located near to the site. The resulting villa has a scale similar to that of its neighbours, while the materiality is also quite similar (red brick walls, tiled roofs, and white window frames). Cross laminated timber was used to reduce the impact of embodied carbon and to speed up the construction process. Furthermore, the architects put an emphasis on the ""opportunity to create new, energy efficient buildings"" that could join the community. Overall, very low heating requirements were achieved through the Passivhaus system where heating is provided by electric heaters to minimise energy loss from distributing the heat.""",,,,,,,,,,,,,,
"""Prototype for Modular Office Renovation""","""MOR Studio""","""2019""","""Delft, Netherlands""","""europe""","""built project""","""site, people, energy""","""https://www.dezeen.com/awards/2021/longlists/prototype-for-modular-office-renovation/""","""https://www.dezeen.com/awards/2021/longlists/prototype-for-modular-office-renovation/, https://www.construction21.org/case-studies/h/modular-office-renovation-prototype.html""",,,"""The Modular Office Renovation (MOR) Project by a group of 46 students at TU Delft, reveals the intention of the team to improve the current performance of office buildings to turn them into net-positive, flexible structures. As the title of the project suggests, the main aims were modularity and circularity. The form of the prototype was taken from one of the most iconic towers in Rotterdam, where towers represent the context of modern construction (the ""international style"" that is prevalent in cities). Hence, the project belongs under the Site category of sustainability since the prototype attempts to change the modern office space while mimicking its key characteristics at the same time. The space was constructed to fit two people, while allowing its users to alter the plan as needed. The space is also highly adaptable, where the living area can be extended into the garden - there is a filtering system for air, as well as pre-heating and cooling devices to maximise comfort while decreasing energy consumption.""",,,,,,,,,,,,,,
"""Haycroft Gardens""","""Wigglesworth Architects""","""2019""","""London, UK""","""europe""","""built project""","""people, health, energy""","""https://www.swarch.co.uk/work/haycroft-gardens/""","""https://www.swarch.co.uk/work/haycroft-gardens/, https://www.dezeen.com/awards/2021/longlists/haycroft-gardens/""",,,"""Hacroft Gardens is a multi-generation family house located in London, the United Kingdom, and it was designed by Sarah Wigglesworth Architects. The design was largely based on Passivhaus principles, where concerns regarding costs, climate change, and the need for sustainable construction were addressed successfully. The main concentration for this project was the People and Health aspect of sustainability, since the comfort and the lifestyle of the users were put into priority. As the clients were interested in gardening, the garden was desisgned using low-impact materials while promoting the growth of local species and plants. Furthermore, passivhaus principles enabled an airtight structure built out of timber cassettes.""",,,,,,,,,,,,,,
"""Smart Design Studio""","""Smart Design Studio""","""2020""","""Alexandria, Australia""","""oceania""","""built project""","""site, health, energy""","""https://www.sustainablebuildingawards.com.au/best-adaptive-reuse-2021/smart-design-studio/""","""https://www.sustainablebuildingawards.com.au/best-adaptive-reuse-2021/smart-design-studio/, https://www.archdaily.com/976415/smart-design-studio-offices-smart-design-studio?ad_medium=office-landing&ad_name=featured-image""",,,"""Smart Design Studio, located in Alexandria, Australia, is an office space that reuses a single storey industrial warehouse to transform it to a mixed use (residential and commercial) building. The adaptive reuse of the pre-existing post-war building was the start of the development of the North Alexandria Industrial Heritage Conservation Area - a great majority of the buildings on the site are a mix of industrial buildings and warehouses. Hence, this shows how the project forms part of both the Reuse and Site categories. The majority of the original building was restored, such as the roof and the brick facades. New construction attempted to use similar materials but improved the method of construction to enhance comfort and usability. This enabled the office space to become a carbon netural building that could minimise the amount of waste generated.""",,,,,,,,,,,,,,
"""Marrickville Library""","""BVN Architects""","""2019""","""Marrickville, Australia""","""oceania""","""built project""","""site, people""","""http://www.bvn.com.au/projects/marrickville-library/""","""http://www.bvn.com.au/projects/marrickville-library/, https://www.architecture.com.au/awards/2020-national-architecture-awards-winners-sustainable-architecture""",,,"""The Marrickville Library, designed by BVN Architects, is located in Marrickville, Australia, and aims to minimise the footprint of the building while engaging the educational and cultural aspects of the community at the same time. The adaptive reuse of an old hospital building, as well as the architect's efforts to retain the cultural heritage of the site, places the project under the Site and Reuse categories regarding sustainability. Modern construction was used to renovate the building and to enable natural light and ventilation through skylights on the ceiling and large windows that also open up views to the garden and site itself. Meanwhile, the profile of the floating canopy roof was constructed based on the original pitched roof of the hospital building, hence showing the attempt to preserve what was on the site as much as possible. Other elements, including tiling, flooring, and window frames were also kept.""",,,,,,,,,,,,,,
"""Pingelly Recreation and Cultural Centre""","""Iredale Pedersen Hook Architects""","""2019""","""Pingelly, Australia""","""oceania""","""built project""","""fabrication, site""","""https://architizer.com/projects/pingelly-recreation-and-cultural-centre/""","""https://architizer.com/projects/pingelly-recreation-and-cultural-centre/, https://www.architecture.com.au/awards/2020-national-architecture-awards-winners-sustainable-architecture""",,,"""The Pingelly Recreation and Cultural Centre by Iredale Pedersen Hook Architects used material as a design solution for a low-impact, sustainable, and highly aesthetic building. 1,000 tonnes of local stringybark was harvested and milled for flooring, while jarrah was taken from the pre-existing sports centre, and all other types of timber were sourced from sustainable sites. The key to the building was to design a sustainable structure that could easily be maintained by the community - therefore, the choice of local stringybark as the main material was intended to help the building resistant to degradation. Overall, since the focus of the project is on materials and fabrication, the project belongs under the Fabrication, Labour, Making category. However, it also makes references to the Site through the construction materials.""",,,,,,,,,,,,,,
"""Mon Repos Turtle Centre""","""KIRK""","""2019""","""Bargara, Australia""","""oceania""","""built project""","""fabrication, site""","""https://www.archdaily.com/934624/mon-repos-turtle-centre-kirk""","""https://www.archdaily.com/934624/mon-repos-turtle-centre-kirk, https://www.architecture.com.au/awards/2020-national-architecture-awards-winners-sustainable-architecture""",,,"""The Mon Repos Turtle Centre in Bargara, Australia is situated as part of a conservation park along the beach. The building is part of a larger life cycle of turtles, where they lay eggs that eventually hatch and travel to the water. The need for ""light-spill"" at night and natural light during the day was fulfilled by KIRK through a series of prefabricated glulam timber diagrid. Not only was the timber sourced locally, but it had to engage the Site by helping visitors navigate through the building even at night. Furthermore, the timber fabrication resulted in an efficient structure where material was minimised and the span was greatly increased.""",,,,,,,,,,,,,,
"""Light House""","""Alexander Symes Architect""","""2021""","""Australia Avenue, Australia""","""oceania""","""built project""","""fabrication, site""","""https://archello.com/project/light-house-7""","""https://archello.com/project/light-house-7, https://www.architectureanddesign.com.au/news/2021-sustainability-awards-winners-review#""",,,"""Light House, by Alexander Symes Architect, is a renovation and revitalisation project of a pre-existing two storey home located in Australia Avenue, Australia. The original home was a dark house with a brick facade; entryways were narrow and overshadowed by neighbouring buildings. Hence, the aim of the project to enable natural lighting while minimising destruction places the house under the Reuse aspect of sustainability. The entry to the house was reconstructed so that the residents can enter from streetlevel, and people are led directly to the garden space. The installation of glazing, skylights, and an insulated envelope both enhanced the performance of the building and established connections to the garden. Lighting on the garden was also emphasised so that the house almost feels disconnected from the dense, urban context of the city.""",,,,,,,,,,,,,,
"""Hayden Library Reinvention, Arizona State University""","""Ayers Saint Gross""","""2020""","""Arizona, USA""","""north america""","""built project""","""site, energy""","""https://www.aia.org/showcases/6392509-arizona-state-library-hayden-library-reinv""","""https://www.aia.org/showcases/6392509-arizona-state-library-hayden-library-reinv, https://www.architectmagazine.com/awards/aia-cote-top-ten-green-projects/aia-announces-the-2021-cote-top-ten-award-winners_o""",,,"""The Hayden Library in Arizona State University, designed by Ayers Saint Gross, is a reinvention project that replaces the mid-century library to fit the diverse and academic environment of both the university and Arizona state. Whereas the old building served approximately 20,000 students, the new library provides services for 70,000 students as well as over 2 million visitors annually. The nature of the project - a renovation - as well as the architect's attempts to link the building back to its setting of a university campus puts the library under the Reuse and Site aspects. While the exterior facade and certain details were maintained, over 30,000 square feet of infrastructure was dedicated for flexible university space. Ayers Saint Gross also tried to establish links back to the campus; the moat that surrounded the old library was partially infilled to connect to the other buildings while preserving the original design objectives.""",,,,,,,,,,,,,,
"""Civitas""","""Archimania""","""2017""","""Tennessee, USA""","""north america""","""built project""","""fabrication, site, people, health""","""https://www.archimania.com/all-projects/civitas""","""https://www.archimania.com/all-projects/civitas, https://www.architectmagazine.com/awards/aia-cote-top-ten-green-projects/aia-announces-the-2021-cote-top-ten-award-winners_o""",,,"""Civitas is a home for a family of three, designed by Archimania and located in Memphis, Tennessee. The clients wanted the house to reflect the values of the family through choice of material, spatial relationships, and transparency of the design. Civitas, which can be translated to ""community,"" shows the desire to integrate with its neighbours, while being expressive and environmentally responsible.""",,,,,,,,,,,,,,
"""Rockwell Integrated Sciences Centre, Lafayette College""","""Payette""","""2019""","""Pennsylvania, USA""","""north america""","""built project""","""site, people""","""https://www.payette.com/project/lafayetterisc/""","""https://www.payette.com/project/lafayetterisc/, https://www.architectmagazine.com/awards/aia-cote-top-ten-green-projects/aia-announces-the-2021-cote-top-ten-award-winners_o""",,,"""The Rockwell Integrated Sciences Centre is located within Lafayette College, Easton, Pennsylvania. Lying between existing buildings on top of a steep hill, the integration to the Site was a key part of Payette's design. The building is a four storey gathering space that is mostly hidden from view due to its surrounding features; consequently, the architects used scale, proportions, and construction materials to help characterise the addition as a prominent and ""important academic destination."" Therefore, the project makes references to the Site by serving as a place that physically, socially, and visually links all the academic programmes and communities within the campus.""",,,,,,,,,,,,,,
"""Market One""","""Neumann Monson Architects""","""2014""","""Iowa, USA""","""north america""","""built project""","""site, energy""","""https://neumannmonson.com/market-one/""","""https://neumannmonson.com/market-one/, https://www.architectmagazine.com/awards/aia-cote-top-ten-green-projects/aia-announces-the-2021-cote-top-ten-award-winners_o""",,,"""Market One, a revitalisation project of the neglected Market District in Des Moines, Iowa, is an example of how historical preservation and sustainability can co-exist with one another. The clients desired to create a 55,000 square foot commercial district on the site, where environmental sustainability would be one of the top priorities of the design. Despite the difficulties regarding the adherence to the National Park Service's guidelines due to the site's historical significance, Neumann Monson Architects was successful in creating an efficient building. For instance, historical preservation guidelines require the maintenance of single-pane windows that hinder insulation, while the pre-existing brick facade is useless during extreme weathers. The fact that the project comes under the Site and Reuse categories can be observed through how more than 97.7% of the building's original materials were reused throughout construction. Such repurposing of materials both reduced the amount of waste generated while maintaining the historical aspects of the site. Strategies involving the balance between the new and the old were essential to this building.""",,,,,,,,,,,,,,
"""MIT.nano, MIT""","""Wilson HGA""","""2018""","""Massachusetts, USA""","""north america""","""built project""","""fabrication, energy""","""https://www.architectmagazine.com/project-gallery/mit-nano_o""","""https://www.architectmagazine.com/project-gallery/mit-nano_o, https://www.architectmagazine.com/awards/aia-cote-top-ten-green-projects/aia-announces-the-2021-cote-top-ten-award-winners_o""",,,"""Located in Cambridge, Massachusetts, MIT.nano is a centre dedicated to research and teaching. It consists of laboratories, classrooms, suites, nano-maker space, and so on; such facilities allow the teaching of students from various academic fields. The building is sited within the Infinite Corridor, a long passageway that connects the main buildings along MIT's campus. The architects, Wilson HGA, designed the centre so that a visual connection is easily established through the large windows on the cleanroom and the mechanical systems. Not only does this enable passerby to have unobstructed views into the labs, but those working within the labs can have access to natural lighting. MIT.nano particularly engages with materiality, Making, and Fabrication since the layers of construction aim to reveal the relationship within atomic structures. For instance, the limestone cladding references atoms, while the layers within the glass windows symbolise microelectronic wafers.""",,,,,,,,,,,,,,
"""Microsoft Silicon Valley Campus""","""WRNS Studio""","""2020""","""California, USA""","""north america""","""built project""","""site, people, health""","""https://www.architectmagazine.com/project-gallery/microsoft-silicon-valley-campus_o""","""https://www.architectmagazine.com/project-gallery/microsoft-silicon-valley-campus_o, https://www.architectmagazine.com/awards/aia-cote-top-ten-green-projects/aia-announces-the-2021-cote-top-ten-award-winners_o""",,,"""The Microsoft Silicon Valley Campus (MSV), designed by WRNS Studio, brings together the context - California's severe droughts - and Microsoft's need for a larger campus to address growing demands. Hence, the aim of the project was to improve the physical workplace, while taking into account the well-being of both people and space. The engagement with Site was achieved through reusing the waste produced, investing in strategies such as thermal storage, and using materials with reduced carbon. The resulting statistics were: a reduction by 57% in potable water despite the increase in site, as well as a reduction in energy demand by 55% while enhancing comfort and liveability. Furthermore, interaction between the spaces within the building and the exterior environment (green roof, decks, etc.) was also a notable factor to the design.""",,,,,,,,,,,,,,
"""Rainier Beach Clinic""","""Mahlum Architects""","""2019""","""Washington, D.C., USA""","""north america""","""built project""","""health, people, energy""","""https://www.aia.org/showcases/6420505-rainier-beach-clinic""","""https://www.aia.org/showcases/6420505-rainier-beach-clinic, https://www.architectmagazine.com/awards/aia-cote-top-ten-green-projects/aia-announces-the-2021-cote-top-ten-award-winners_o""",,,"""The Rainier Beach Clinic, located in Seattle, Washington, is designed to revolutionise dialysis and patient care through seeking a ""patient-centric alternative."" Mahlum Architects proposed that access to views from the care areas would improve results from treatments to achieve decreased mortality rates. The main challenge the architects went through was to place patient care areas so that everyone has an access to views, while ensuring that the circulation within the clinic was still safe.""",,,,,,,,,,,,,,
"""Life Sciences Building, University of Washington""","""Perkins+Will""","""2018""","""Washington, D.C., USA""","""north america""","""built project""","""water, site, people, energy""","""https://www.archdaily.com/912260/life-sciences-building-for-the-university-of-washington-perkins-plus-will#:~:text=Designed%20by%20global%20architecture%20and,new%20centerpiece%20for%20UW%20Biology.""","""https://www.archdaily.com/912260/life-sciences-building-for-the-university-of-washington-perkins-plus-will#:~:text=Designed%20by%20global%20architecture%20and,new%20centerpiece%20for%20UW%20Biology., https://www.architectmagazine.com/awards/aia-cote-top-ten-green-projects/aia-announces-the-2021-cote-top-ten-award-winners_o""",,,"""The Life Sciences Building at the University of Washington by Perkins+Will establishes the ""vision for the future of biology at the UW. The building takes into account the features of the natural environment as well as sustainable design strategies in order to take into account the physical context. For instance, the elevator core is wrapped in Douglas fir tree slabs, which mimic the form of the trees in the woods next to the project - this places the building under the Site aspect of sustainability. Additionally, glass solar fins save the amount of electricity used in the building, while the water reclamation system gathers enough rainwater for greenhouses, solar panels, and the floor; this establishes the link to Water.""",,,,,,,,,,,,,,
"""Common Sands: Forite Tiles""","""Studio Plastique, Snøhetta and Fornace Brioni""",,,,"""material""",,,,,,"""Common Sands — Forite is a collection of recycled glass tiles made from the glass components found in discarded ovens and microwave ovens is a prototype project to address both silicate scarcity and growing volumes of electronic waste,""",,,,,,,,,,,,,,
"""Tea Leaf Market of Zhuguanlong Township""","""SUP Atelier""",, hina,,"""built project""",,,,https://architizer.com/blog/projects/tea-leaf-market-of-zhuguanlong/,https://www.dezeen.com/awards/2021/longlists/tea-leaf-market-of-zhuguanlong-township-2/,"""Located in Zhuguanlong Township, in Southeast China, the Tea Leaf Market designed by SUP Atelier is built for local people’s tea leaf trading activities. Working together with local authorities, the designers explored the possibility of a large-span space of high utilization efficiency using raw bamboo.. The design explores a replicable prototype as a generator for rural areas, integrating the main function of product trading with multi-adapted village activities to boost rural life. Apart from seasonal tea leaf trading, the market can be used for various local activities such as festivals and weddings. The main structure is built of rammed earth and concrete with terrazzo floors that present a natural solidness while also indicating human-nature harmony. The metal roof is joint seamlessly with the light bamboo structure, stretching over a span of 18 m, guaranteeing both durability and climatic adaptability of the building.""",,,,,,,,,,,,,,
Bermonds Locke,Holloway Li,,"""London, UK""","""europe""","""built project""",,,,,,,,,,,,,,,,,,,,
Honext Material,Honext,,Honext,,Material/component,,,,https://www.dezeen.com/awards/2021/shortlists/honext-material/,,"Honext boards by Honext, a Barcelona-based company that manufactures a carbon-neutral, circular, biotech process that upcycles waste fibres into fully recyclable, non-toxic panels. The product is natural and recyclable with fire- resistant and insulating properties, made entirely from cellulosic waste.The cellulosic waste is obtained from local sources and carefully selected to maintain product quality. This eliminates the need to transport materials across long distances. The process of making and shaping the boards is zero emission that results in a negative carbon footprint. The boards can be used as drywall cladding and once they have reached their end of use, the cycle can be repeated by feeding the material back to the process and using that to generate new boards.",,,,,,,,,,,,,,
Alive,The Living,,,,Installation/Prototype,,,,https://www.dezeen.com/awards/2021/shortlists/alive-2/,,"New York architecture studio The Living combines speculation and realization through prototypes that intersect biocomputing, bio-sensing, and bio-manufacturing to promote rapid innovation, mitigate uncertainty, and develop new methodologies. 
The installation “Alive” advocates a probiotic-versus-antibiotic approach to architecture and design. It suggests a new way of building structures in the future using porous environments that can host both humans and microbes, with the latter serving as a natural form of HVAC. In this way, the installation proposes designing for more than human comfort, by using structures that take into consideration life and health.",,,,,,,,,,,,,,
Jiangyin Greenway,Brearley Architects + Urbanists,,"""Wuxi, China""","""asia""","""built project""","""Site""",,,https://www.dezeen.com/awards/2020/longlists/jiangyin-greenway-weaving-and-stitching/,https://www.archdaily.com/930909/jiangyin-greenway-bau,"Jiangyin Greenway, designed by Brearley Architects + Urbanists, consists of four identifiable segments that each respond to the unique characteristics of the place (Yangtze River) in which the pathway is located. Since the freeway is entirely lifted up from the city, it does not act as a barrier to circulation; the shortcuts the project provides is also successful in rejuvenating the park within the site. Hence, the project belongs under the Site aspect of sustainability, since it clearly responds to the existing roads and pedestrian circulation within the city. Furthermore, it enhances the living quality of the neighbourhood by hosting additional programmes (including widenings and landmark bridges) to make adjacent city programmes work. ",,,,,,,,,,,,,,
Atelier Villa,Formafatal,,"Playa Hermosa, Costa Rica",,"""built project""","""Site, Fabrication""",,,https://www.dezeen.com/awards/2020/longlists/atelier-villa-costa-rica/,https://www.archdaily.com/940612/atelier-villa-art-villas-costa-rica-formafatal,"Atelier Villa is a private residence designed by Formafatal, located in Playa Hermosa, Costa Rica. The design intention of the building was to blend in with the surrounding environment, which would clear the clients' minds and allow them to experience luxury at the same time. While the back walls were designed to be windowless to ensure privacy, the priority of the project was to erase the ""boundaries between interior and exterior."" Such aim places the project underneath the Site category. Additionally, the fact that green roof as well as corten steels were used to achieve the aim references parts of Fabrication as well. The materiality and the colours used for the design scheme succesfully blur the boundaries and give the project a feeling of being warm and natural.",,,,,,,,,,,,,,
