Project Name,Architect,Year,City,Continent,Project Type,Aspect,Image link,Source,Summary
"""Queens Botanical Garden""","""BKSK Architects""","""2007""","""New York, USA""","""north america""","""project""","""people, health, water""","""https://queensbotanical.org/wp-content/uploads/2019/02/2011.4.6_Buildings_CREDIT-H.David-Stein09.png""","""https://scholarworks.umass.edu/cgi/viewcontent.cgi?referer=https://www.google.com/&httpsredir=1&article=2015&context=theses, https://queensbotanical.org/sustainability/""","""Queens Botanical Garden, designed by BKSK Architects, focuses on maximising its impact on environmental sustainability in Flushing, NY. The project was the first public building in New York City to receive a LEED-Platinum. Its main design decisions - the green roof and the construction of bioswales to capture and reuse stormwater - contribute towards sustainability efforts. The orientation of the building is rotated towards the east-west axis, where there is diffused lighting for most interior spaces that reduce the building's overall energy consumption. Furthermore, PV panels are utilised to save energy while the building is oriented along the east-west axis in order to maximise daylighting. As the building is open to the public, the garden achieves a broader impact that differentiates itself from the Sidwell Friends Middle School."""
"""Rainier Beach Clinic""","""Mahlum Architects""","""2019""","""Washington, D.C., USA""","""north america""","""project""","""health, people""","""https://res.cloudinary.com/dpcbzfiye/image/upload/w_1620,c_fit,dpr_auto,f_auto,q_auto,fl_progressive/v1618793446/ow3z4v4tvd0t9dzsqdqb.jpg""","""https://www.aia.org/showcases/6420505-rainier-beach-clinic, https://www.architectmagazine.com/awards/aia-cote-top-ten-green-projects/aia-announces-the-2021-cote-top-ten-award-winners_o""","""The Rainier Beach Clinic, located in Seattle, Washington, is designed to revolutionise dialysis and patient care through seeking a ""patient-centric alternative."" The architects' ambitions to provide the patients with direct access to nature from the care areas ultimately led to improved health outcomes, reflected in the decreased morbidity and mortality rates within the hospital. Certain aspects of the design show how biophilic strategies were used; biodiverse and seasonal plants were placed in the courtyards to lower stress during therapy sessions. Furthermore, warm materials and natural lighting were used throughout the building to put the patients at ease. Overall, Mahlum Architects successfully inserted nature into the design, hence providing the opportunity for people to see the relationship between patient well-being and spatial capacity."""
"""Hayden Library Reinvention, Arizona State University""","""Ayers Saint Gross""","""2020""","""Arizona, USA""","""north america""","""project""","""site, energy""","""https://res.cloudinary.com/dpcbzfiye/image/upload/w_1620,c_fit,dpr_auto,f_auto,q_auto,fl_progressive/v1618845697/zmylex0r0pvogsvwvyrv.jpg""","""https://www.aia.org/showcases/6392509-arizona-state-library-hayden-library-reinv, https://www.architectmagazine.com/awards/aia-cote-top-ten-green-projects/aia-announces-the-2021-cote-top-ten-award-winners_o""","""The Hayden Library in Arizona State University, designed by Ayers Saint Gross, is a reinvention project that replaces the mid-century library to fit the diverse and academic environment of both the university and Arizona state. Whereas the old building served approximately 20,000 students, the new library provides services for 70,000 students as well as over 2 million visitors annually. While the exterior facade and certain details were maintained, over 30,000 square feet of infrastructure was dedicated for flexible university space. Ayers Saint Gross also tried to establish links back to the campus; the moat that surrounded the old library was partially infilled to connect to the other buildings while preserving the original design objectives."""
"""Common Sands - Forite""","""Studio Plastique, Snøhetta and Fornace Brioni""","""2020""","""N/A""","""europe""","""tool""","""technical metabolism, circular economy""","""https://snohetta.com/uploads/images/563c1541b67bbd5ef3e8ddec4d7db68e_500w.jpg""","""https://snohetta.com/projects/569-common-sands-forite""","""Common Sands - Forite is a collection of recycled glass tiles made from the glass components found in discarded ovens and microwaves. Based on the research conducted by Studio Plastique, Snøhetta, and Fornace Brioni, the project has the aim of investigating into the potential of recycled E-waste glass. The resulting tiles are opaque and transparent at the same time, while having a terrazzo-like material quality; its potential architectural uses include the coverage of surfaces and partition elements. However, this is only the starting point and the project shows the potential for future investigations regarding circular and sustainable design, where Common Sands - Forite has already demonstrated its aesthetic depth, value, and function."""
"""Garden and House""","""Ryue Nishizawa""","""2011""","""Tokyo, Japan""","""asia""","""project""","""site, people, health""","""https://static.dezeen.com/uploads/2013/01/dezeen_Garden-and-House-by-Ryue-Nishizawa_3ss.jpg""","""https://www.dezeen.com/2013/01/23/garden-and-house-by-ryue-nishizawa/""","""Located in a dense commercial district of Tokyo, the Garden and House project by Ryue Nishizawa is a four-storey structure combining a home and workplace for two writers. Considering the limitations of the site, which is only four meters wide, the architect ensured spaciousness and light by designing an open structure accompanied by glass walls to give a sense of openness in the interior. Whether it is the living room, private room, or the bathroom, every room has a garden of its own so that the residents may go outside to feel the breeze, read a book, or rest in the evening and enjoy an open environment in their daily lives. These green spaces also serve as a dynamic facade, or a buffer from the street to maintain privacy in the transparent structure."""
"""Wander Wood Pavilion""","""Inhabitat""","""2018""","""Vancouver, Canada""","""north america""","""project""","""fabrication, technical metabolism""","""https://static.dezeen.com/uploads/2018/11/wander-wood-pavilion-vancouver-the-univsersity-of-british-columbia_dezeen_hero.jpg""","""https://www.dezeen.com/2018/11/02/wander-wood-pavilion-robotic-timber-fabrication-university-british-columbia-vancouver/""","""The Wander Wood Pavilion, located in Vancouver, Canada, is a project conducted by the students at the University of British Columbia under a workshop titled 'Robot Made: Large-Scale Robotic Timber Fabrication in Architecture.' The wooden structure consists of two rows of wood pieces that change in curvature to create the overall profile. The round shell, which is partially open, has a bench for people to socialise and rest. New fabrication techniques were used to incorporate the unique characteristics of wood as a material, hence experimenting with technology while vitalising certain areas of the school campus. The goal of this investigation was to show how timber fabrication can create various sculptures while promoting sustainable construction."""
"""CO2 Absorbent Cladding""","""Made of Air""","""2021""","""Berlin, Germany""","""europe""","""tool""","""fabrication, biological metabolism""","""https://static.dezeen.com/uploads/2021/06/made-of-air-interview-carbon-revolution_dezeen_2364_col_9-852x479.jpg""","""https://www.madeofair.com/, https://www.dezeen.com/2021/06/24/carbon-negative-plastic-biochar-made-of-air-interview/""","""The British company Made of Air has produced a carbon sequestration product intended to offer an alternative to fossil thermoplastics. Raw materials such as sawdust and small chips are obtained from the waste stream of the forestry industry. Additionally, materials from cut trees for timber products are pyrolised to create a compact carbon-negative thermoplastic compound, which locks in carbon so that it can be completely decomposed to return to the soil. The material is designed for durability and intended as a replacement for “high emissions thermoplastics'' which can be potentially used for products like furniture, interior/exterior panelling, and car dashboards. Products made from this thermoplastic can be collected at the end of their life, ground down, and reformed to replace conventional cladding materials like steel."""
"""Prototype for Modular Office Renovation""","""MOR Studio""","""2019""","""Delft, Netherlands""","""europe""","""project""","""fabrication, technical metabolism, circular economy""","""https://static.dezeen.com/uploads/2021/08/awycuvXTdAVEcO5NFPi4lhhfreYAAwSyrmzViUcA_Z33nsize_2048-852x852.jpeg""","""https://www.dezeen.com/awards/2021/longlists/prototype-for-modular-office-renovation/, https://www.construction21.org/case-studies/h/modular-office-renovation-prototype.html""","""The Modular Office Renovation (MOR) Project was conducted by a group of 46 students at TU Delft, intending to reveal the intention to improve the current performance of office buildings to turn them into net-positive, flexible structures. As the title of the project suggests, the main aims were modularity and circularity. The form of the prototype was taken from one of the most iconic towers in Rotterdam, where towers represent the context of modern construction (the ""international style"" that is prevalent in cities). The prototype attempts to change the modern office space while mimicking its key characteristics at the same time. The space was constructed to fit two people, while allowing its users to alter the plan as needed. The space is also highly adaptable, where the living area can be extended into the garden - there is a filtering system for air, as well as pre-heating and cooling devices to maximise comfort while decreasing energy consumption."""
"""Olympic House - IOC Headquarters""","""3XN""","""2019""","""Lausanna, Switzerland""","""europe""","""project""","""site, people, health""","""https://static.dezeen.com/uploads/2021/08/dzoN8hmjgnz56BXRD8PgklYsabgyNiB87ABxklsI_Z33nsize_2048-852x852.jpeg""","""https://www.dezeen.com/awards/2021/longlists/olympic-house-ioc-headquarters/, https://www.archdaily.com/919974/olympic-house-3xn""","""The Olympic House, which is the new headquarters for the International Olympic Committee (IOC), was built in Lausanne, Switzerland, by the Danish firm 3XN. The building was designed and constructed under five main values: sustainability, collaboration, flexibility, movement, and transparency. Hence, the design aims to encourage active communication between the employees, while forming an efficient and sustainable office space. The Olympic House is an example of how reuse was used to achieve the aim of circular economy: 95% of the construction materials from the administrative building that pre-existed on the site were reused and recycled to erect the new headquarters. While the footprint of the building was more than doubled, the new building was able to provide the equal amount of green space on the campus. Furthermore, the building envelope used triple glazing to provide enough thermal insulation while providing views of the lake on the site."""
"""ciAsa Aqua Bad Cortina""","""Pedevilla Architects""","""2019""","""South Tyrol, Italy""","""europe""","""project""","""site, biological metabolism""","""https://static.dezeen.com/uploads/2021/08/ICPnXHAiON1Rff2bQ5FfTZTbH4ZArcuDggvppTte_Z33nsize_2048-852x568.jpeg""","""https://www.dezeen.com/awards/2021/shortlists/ciasa-aqua-bad-cortina/, https://archello.com/project/ciasa-aqua-bad-cortina""","""ciAsa Aqua Bad Cortina is an alpine house located in St. Vigil, Italy. Designed by Pedevilla Architects, the house is shaped like a trapezoid where there is no distinction between the roof and the wall. This makes the profile of the building distinctive even from far away. Material choice was key to the project, since the house was built out of local materials: stone was used for the flooring and other types of wood were used the interior. Overall, almost no synthetic materials were used during the process. Social sustainability was also a notable factor, where only craftsmen from the valley were employed - their input on local construction techniques were significant, since the knowledge that originates from local culture is hindered due to emerging developments and standardised techniques."""
"""The Arc at Green Schoool Bali""","""IBUKU""","""2021""","""Kecamatan Abiansemal, Indonesia""","""asia""","""project""","""site, fabrication, digitalization""","""https://static.dezeen.com/uploads/2021/08/M0Hr8ruoCXU2cMovJZwI1TYIOk8H81Axz21bkOpu_Z33nsize_2048-852x568.jpeg""","""https://www.dezeen.com/awards/2021/shortlists/the-arc-at-green-school-bali/, https://www.archdaily.com/964059/the-arc-at-green-school-ibuku""","""The Arc at Green School Bali by IBUKU, located in Bali, Indonesia, reveals a new design solution where the use of bamboo has shown the potential of lightweight structures. It is built out of 14m bamboo arches that span 19m while intersecting one another - they are supported by a shell with an orthogonal grid. The anticlastic gridshells are in constant tension, which successfully hold the arches in place.The resulting space, which is supported by minimal structure, opens up a huge surace area suitable for a gym and a place for students to relax. The fact that it took the architects months to detail out the connections and figure out the two systems shows how the fabrication of materials can contribute towards design solutions that are efficient, therefore opening up large areas with minimal structure."""
"""House in No Man's Land""","""Hoff Architects and Sierra Boaz Cobb""","""2020""","""MV, Germany""","""europe""","""project""","""technical metabolism, energy""","""https://static.dezeen.com/uploads/2021/08/r1lD9H4PBheenfuBNvx9UqQKuOYa9Kvn6QvoD8V9_Z33nsize_2048-852x852.jpeg""","""https://www.dezeen.com/awards/2021/longlists/house-in-no-mans-land/, https://www.hoffarchitects.com/projects/no-mans-land""","""House in No Man's Land, by Hoff Architects and Sierra Boaz Cobb, is a renovation project of an old, 19th century farmhouse in East Germany. The renovation doesn't destroy the original construction but instead attempts to reveal parts of it to celebrate the long history the house represents. For instance, the brick facade and the timber framing are kept, with minimal touches made by including sustainable interventions such as a steel staircase that reduces the amount of space wasted by circulation. Net-zero energy consumption was achieved through installing solar shingles and a geothermal system."""
"""Kamikatsu Zero Waste Centre""","""Hiroshi Nakamura & NAP, Yamada Noriaki Structural Design Office""","""2020""","""Kamikatsu, Japan""","""asia""","""project""","""technical metabolism, circular economy, people, site""","""https://static.dezeen.com/uploads/2021/08/wmr9wjDNtbqYfGtSJsCtG9snI5nMAoCnsIYSd9V8_Z33nsize_2048-852x852.jpeg""","""https://www.dezeen.com/awards/2021/shortlists/kamikatsu-zero-waste-center/, https://www.dezeen.com/2021/11/09/kamikatsu-zero-waste-center-hiroshi-nakamura-architecture/""","""Kamikatsu Zero Waste Centre, built by Hiroshi Nakamura & NAP, is an environmentally friendly building that aids the community effort to fully recycle and process their waste. The town of Kamikatsu has achieved an 80% recycling rate by sorting their wastes into 45 categories at this facility. Not only this, but the building is also entirely made out of waste - for instance, the wood used for structural support was processed as little as possible to reduce the amount of waste generated. The building also contains a community hall, a reuse centre, and a hotel - this generates a sense of community action, hence engaging the members of the community to participate in this collective effort towards sustainability."""
"""Alive""","""The Living""","""2021""","""Venice, Italy""","""europe""","""project""","""biological metabolism""","""https://static.dezeen.com/uploads/2021/09/Alive-3-852x852.jpeg""","""https://www.dezeen.com/awards/2021/shortlists/alive-2/, http://thelivingnewyork.com/alive.htm""","""A New York-based architecture studio, The Living, combines speculation and realisation through prototypes that intersect biocomputing, bio-sensing, and bio-manufacturing to promote rapid innovation, mitigate uncertainty, and develop new methodologies. The installation “Alive” advocates a probiotic-versus-antibiotic approach to architecture and design. It suggests a new way of building structures in the future using porous environments - they can host both humans and microbes, with the latter serving as a natural form of HVAC. In this way, the installation proposes designing for more than human comfort, by using structures that take into consideration life and health."""
"""Honext Material""","""Honext""","""2020""","""Barcelona, Spain""","""europe""","""tool""","""biological metabolism""","""https://static.dezeen.com/uploads/2021/09/Honext_EnricBadrinas.jpg""","""https://www.dezeen.com/2020/11/26/honext-recyclable-construction-material-cellulose-paper/""","""Honext boards were produced by Honext, a Barcelona-based company that manufactures a carbon-neutral, circular, biotech process that upcycles waste fibres into fully recyclable, non-toxic panels. The product is natural and recyclable with fire-resistant and insulating properties, made entirely from cellulosic waste.The cellulosic waste is obtained from local sources and carefully selected to maintain product quality. This eliminates the need to transport materials across long distances. The process of making and shaping the boards is zero emission, hence resulting in a negative carbon footprint. The boards can be used as drywall cladding and once they have reached their end of use, the cycle can be repeated by feeding the material back to the process and using that to generate new boards."""
"""Bedzed EcoVillage""","""Bill Dunster""","""2002""","""Wallington, UK""","""europe""","""project""","""technical metabolism, energy, site""","""https://static.wixstatic.com/media/330c42_eb304009d7ab4259b9bca5909aa03509~mv2.jpg/v1/fill/w_1224,h_765,al_c,q_85,usm_4.00_1.00_0.00,enc_auto/330c42_eb304009d7ab4259b9bca5909aa03509~mv2.jpg""","""https://www.zedfactory.com/bedzed""","""The Beddington Zero Energy Development (BedZED), designed by ZEDfactory, is an environmentally-friendly housing development in Wallington, London. The idea of the eco village is to create a mixed use and mixed tenure resilient community that is both affordable and achievable despite market constraints. Over half of the construction materials were sourced within 35 miles, which is considerably closer than the construction industry average. Using bricks and structural steelwork reclaimed from local demolition sites, the building needed very few finishes. BedZED also designed its own on-site water treatment plant and woodchip fuelled combined heat and power plant with a capacity to match the average electrical demand."""
"""Streetcaster""","""Supernormal""","""2018""","""Massachusetts, USA""","""north america""","""tool""","""people, digitalization""","""https://static.wixstatic.com/media/385e85_b0b9e0f3164341a5be1acb079e1de123~mv2.jpg/v1/fill/w_1316,h_498,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/streetcaster.jpg""","""https://www.supernormal.io/streetcaster""","""StreetCaster is a program and algortihm developed by Supernormal that integrates social equity as a key variable in prioritising infrastructural replacements and repairs. Developed in collaboration with the City of Boston Public Works Department (PWD), the City of Boston Mayor’s Office of New Urban Mechanics (MONUM), and other city agencies, this program aims to be an equitable approach for allocating resources for infrastructure, starting with sidewalk replacements and repairs. Through the program, the city will create new networks of sidewalks in areas that need them most, while simultaneously improving the way that residents request for repairs through the city's 311 system. This map-based index identifies zones and areas that provide critical access to civic assets; that, if well served, help deal with systemic inequity; and that are in physical disrepair."""
"""Araksa Tea House""","""Simple Architecture""","""2018""","""Chiangmai, Thailand""","""asia""","""project""","""site""","""https://static.wixstatic.com/media/3a5257_a54a6695e53542538f40e93664c5e9f0~mv2.jpg/v1/fill/w_1292,h_861,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/3a5257_a54a6695e53542538f40e93664c5e9f0~mv2.jpg""","""https://www.simplearchitecture.net/, https://www.dezeen.com/awards/2021/longlists/araksa-tea-house/""","""Araksa Tea House by Simple Architecture is located in Chiangmai, Thailand and the design is heavily based on the site, which has one of the oldest tea gardens in the country. The area hasn't been exposed to pesticides for over 15 years, and the way the tea house was designed was affected by the undisturbed nature of the local environment. Local soil was used to build the bricks for the facade, and local white soil was used for the plaster. Even the columns were built out of reused wood, while the roof was constructed using tiles produced by the local factory. Much of the building materials and the design concept were based on the key characteristics of the surrounding environment."""
"""HafenCity""","""HafenCity Hamburg GmbH""","""2020""","""Hamburg, Germany""","""europe""","""project""","""people, health""","""https://thecityateyelevel.com/app/uploads/2018/05/p216-83_DSC4113_HQ-HafenCity-Hamburg-Germany-Tanja-Nagelsmeier-1440x675.jpg""","""https://www.hafencity.com/en/overview/about-hafencity, https://thecityateyelevel.com/stories/creating-livability/""","""HafenCity, located in Hamburg, Germany, has ambitions to actively engage the members of the community, hence responding to the local and global needs. The city consists of various facilities for the well being of its residents, including offices, residential complexes, schools, and cultural centres. The settlement encourages social inclusion and ecological sustainability through the construction of public spaces that are inclusive. Not only that, but the developers also placed emphasis on the relationship between the land and the surrounding body of water. While the city is surrounded by dikes to prevent regular flooding, the connection with the water is maintained so that residents can enjoy the waterfront. The main goal of the development, which includes spaces for over 7,500 residential units and 35,000 offices, is to define itself through the notable urban layout and its emotional identities."""
"""Silent Spring""","""Rachel Carson""","""1962""","""USA""","""north america""","""publication""","""health, circular economy""","""https://unknews.unk.edu/wp-content/uploads/2017/03/Rachel-Carson.jpg""","""https://unknews.unk.edu/2017/03/24/documentary-on-rachel-carsons-silent-spring-featured-at-unk-april-10/, https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.460.880&rep=rep1&type=pdf, https://en.wikipedia.org/wiki/Silent_Spring""","""'Silent Spring,' written by Rachel Carson in 1962, is an environmental science book that marked the start of the American history regarding sustainability. The publication highlighted the negative effects of pesticides, which had previously been publicised by the chemical industry for being safe. Carson claimed that constant use of pesticides would lead to detrimental consequences impacting the environment, such as increased resistance to pesticides being developed by pests and weakened ecosystems, which would become unsustainable and unhealthy. Although the book initially brought about extreme opposition from the proponents of pesticide use, mainly the chemical companies, Carson's investigations eventually led to the abolition of DDT in agriculture."""
"""Sylvicultura Oeconomica - The Future of Nature""","""Hans Carl von Carlowitz""","""1713""","""Germany""","""europe""","""publication""","""biological metabolism, site""","""https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Sylvicultura_oeconomica.pdf/page3-1536px-Sylvicultura_oeconomica.pdf.jpg""","""https://www.degruyter.com/document/doi/10.12987/9780300188479-009/html, https://en.wikipedia.org/wiki/Hans_Carl_von_Carlowitz""","""'Sylvicultura Oeconomica - The Future of Nature,' written by Hans Carl von Carlowitz, first mentioned the concept of sustainable development in 1713. As the head of the Royal mining office in Germany, Hans Carl von Carlowitz was responsible for managing timber supplies for the mining industry, where over ten thousand miners were part of it. The book was published when Germany was going through a major shortage of timber, which was a key resource for everyone. Based on his experiences travelling to various countries during his youth as well as the devastation the Thirty Years' War had left at the time, Hans Carl von Carlowitz was able to clearly define the concept of sustainability in forestry. 'Sylvicultura Oeconomica' explains how timber can be maintained through methods including sowing and planting seeds, managing new types of trees, making charcoal, and so on."""
"""HYBE""","""FHHHfriends""","""2021""","""Seoul, South Korea""","""asia""","""project""","""people, health""","""https://vmspace.com/ActiveFile/spacem.org/board_img/5409503860e2693d37ade.jpg""","""https://vmspace.com/eng/project/project_view.html?base_seq=MTUyNg==""","""HYBE, a renovation project of an old office building located in Seoul, South Korea, was led by the firm FHHHfriends. The architects started the design process by taking into account the characteristics of both the company and the way employees work in their old office. The resulting design was a 500 cm X 500 cm modular grid system based on the floor area of the building. Custom furniture was made so that everything fit along the modules; the racks were mobile and were suitable for the maximisation of storage (especially documents). This decision was based on how the employees at HYBE needed an efficient and effective storage system as well as compact tables; the mobile racks could be manually moved to suit the needs of the inhabitants. The arrangement of the racks created several scenarios, ranging from a typical office floor plan to more of a socially interactive space."""
"""University of Wyoming - Visual Arts Facility""","""Hacker Architects""","""2012""","""Wyoming, USA""","""north america""","""project""","""site, people, health, energy""","""https://www.aiatopten.org/sites/default/files/styles/popup/public/Wyoming_13.jpg?itok=qaAFhOuA""","""https://www.aiatopten.org/node/425""","""The Visual Arts Facility in the University of Wyoming, designed by Hacker Architects, intends to engage the occupants by forming interesting outdoor spaces as well as quality interior experiences. The design was heavily informed by the ecology and the bioclimatic conditions of the site, while aiming to connect the various buildings of the University of Wyoming together to express the students' and faculty's interest in art. The building embraces the natural beauty of Wyoming: the stone used during construction was quarried from the campus's own quarry located in Wyoming, while the harsh wind directly informs the shape of the design. The building was also oriented so that the interaction between the sun and the interior could be maximised, while linking to the exterior whenever possible to allow occupants to engage with the natural environment."""
"""Centre Culturel Jean-Marie Tjibaou""","""Renzo Piano""","""1998""","""Noumea, New Caledonia""","""oceania""","""project""","""site, people""","""https://www.archdaily.com/600641/ad-classics-centre-culturel-jean-marie-tjibaou-renzo-piano/540e039fc07a80b9060000f5-ad-classics-centre-culturel-jean-marie-tjibaou-renzo-piano-photo""","""https://www.archdaily.com/600641/ad-classics-centre-culturel-jean-marie-tjibaou-renzo-piano""","""Centre Culturel Jean-Marie Tjibaou by Renzo Piano aimed to smoothen out ethnic tensions between the Kanak people and the island's European inhabitants. The architects manipulated the form of the building to create a sequence of 10 round shells that stretched along the hillside, varying in height to cast their presence over the shoreline. The shape of the shells employed traditional construction principles while imitating the profile of the surrounding trees to blend into the physical site as well as its historical context. Piano made further elaborations to the Kanak tradition whereby indirect passageways are the proper entry points to a building. On the opening day, non-Kanak people were left in confusion while Kanak people ""wandered calmly to it."""""
"""Forte Building""","""Lend Lease""","""2013""","""Melbourne, Australia""","""oceania""","""project""","""fabrication""","""https://www.architectureanddesign.com.au/getmedia/fbda708d-ac22-4935-b3b3-dbb124312612/Forte-Exterior.aspx""","""https://www.architectureanddesign.com.au/projects/multi-residential/forte-by-lend-lease#""","""The Forte Building in Melbourne, Australia, designed by Lend Lease, was the tallest cross-laminated timber (CLT) building in the world at the time of its construction (2013). The project aimed to use renewable materials and high-tech manufacturing processes, while developing a prototype that could be reused and adapted to other types of buildings. The housing complex was successful in reducing waste, being efficient in construction, and developing an affordable way of building houses. The design concept was also largely dependent on minimising environmental impact while using wood at larger scales such as high-rise buildings."""
"""New Housing, Coin Street""","""Haworth Tompkins""","""1998""","""London, UK""","""europe""","""project""","""people, site""","""https://www.communityledhousing.london/wp-content/uploads/2018/10/CoinStreet-Iroko-800x450.jpg""","""https://www.communityledhousing.london/project/coin-street/""","""New Housing in Coin Street, London, UK, started due to a campaign for social housing complexes in the 1970s that argued against commercial development that reduced the number of housing units. The Coin Street Secondary Housing Cooperative developed an accommodation for approximately 1,000 people that led to four mutual housing co-ops. Not only did residents gain access to affordable and high quality homes, but the neighbourhood centre provided them with facilities and services ranging from childcare to conference spaces. Such efforts successfully led the people to engage to their houses, hence improving comfort and social sustainability."""
"""Solarleaf Facade""","""ARUP""","""2019""","""Dresden, Germany""","""europe""","""project""","""biological metabolism, health, energy""","""https://www.designcurial.com/Uploads/NewsArticle/4679548/main.jpg""","""https://www.designcurial.com/news/microalgae-really-go-green-4679548/, https://www.arup.com/projects/bioenergy-facade""","""The Solarleaf facade, otherwise known as the bioenergy facade, is the first algae bioreactor facade developed by Arup. Microalgae are cultivated in a nutrient rich medium within glass facade panels that generate heat for the building operation and absorb CO2 at the same time. With a thermal efficiency of 38% and a biomass conversion efficiency of 8%, the facade is comparable to conventional solar systems. In order to improve the conditions for algae growth in the facade panels while optimising the structure of the glass elements, computational fluid dynamics (CFD) simulations were used to map the flow and mixing processes within the bioreactors. The function and economic efficiency of the system is ensured by a contracting model wherein the harvested algae can be utilised by  food and pharmaceutical industries."""
"""Maritime Museum""","""Mecanoo""","""2011""","""Texel, Netherlands""","""europe""","""project""","""technical metabolism, site""","""https://www.mecanoo.nl/Portals/_default/Mecanoo/PRProjects/51/20200324-191743.jpg""","""https://www.mecanoo.nl/Projects/project/51/Kaap-Skil-Maritime-and-Beachcombers-Museum""","""The Kaap Skil Maritime and Beachcombers Museum by Meccannoo incorporates ideas regarding the reuse of washed-up objects around Texel Island. Comprising of an outer screen of vertical slats with a layer of glass underneath, the textured facade provides views of the sky while creating a rhythmic play using light in the interior. The facade is composed of hardwood sheet piling reclaimed from the Noord-Hollands Canal, with a peaked roof that imitates the rhythm of the surrounding rooftops on the site. Kaap Skil also demonstrates the tradition of recycling, as vertical wooden boards on the exterior are made of sawn hardwood sheet-piling sourced from the North Holland Canal and have been given a new life."""
"""Rockwell Integrated Sciences Centre, Lafayette College""","""Payette""","""2019""","""Pennsylvania, USA""","""north america""","""project""","""site, energy""","""https://www.payette.com/wp-content/uploads/2018/11/lafayette_top-image_2130x1300-1366x834.jpg""","""https://www.payette.com/project/lafayetterisc/, https://www.architectmagazine.com/awards/aia-cote-top-ten-green-projects/aia-announces-the-2021-cote-top-ten-award-winners_o""","""The Rockwell Integrated Sciences Centre is located within Lafayette College, Easton, Pennsylvania. Lying between existing buildings on top of a steep hill, the integration to the site was a key part of Payette's design. The building is a four storey gathering space that is mostly hidden from view due to its surrounding features; consequently, the architects used scale, proportions, and construction materials to help characterise the addition as a prominent and ""important academic destination."" Therefore, the project serves as a place that physically, socially, and visually links all the academic programmes and communities within the campus."""
"""Concrete Footbridge""","""EPFL""","""2021""","""Fribourg, Switzerland""","""europe""","""project""","""fabrication, technical metabolism""","""https://www.popsci.com/uploads/2021/10/18/ReCrete-02-c-EPFL-2048x1152.jpg""","""https://www.popsci.com/science/reuse-concrete-bridge/""","""The Concrete Footbridge on display in Smart Living Lab, Fribourg, Switzerland, is built of 25 concrete blocks taken from pre-existing walls. The primary goal of the architects at EPFL was to reuse concrete, as most of the concrete that is left behind when buildings are demolished are sent to landfills (which then cause 8% of the world's carbon emissions). This resulted in a bridge that minimised its carbon footprint while employing existing technologies. The project is an example of how architecture can reuse materials that have previously been used for other purposes: the architects found a site that contained concrete blocks of the desired size, smoothened out the blocks so that they could come together as an arch, and filled the joints with mortar."""
"""Blade Made Playgrounds""","""Superuse Studio""","""2009""","""Rotterdam, Netherlands""","""europe""","""project""","""site, technical metabolism""","""https://www.superuse-studios.com//media/2021/07/2007_wikado_24513453842_o.jpg""","""https://www.superuse-studios.com/projectplus/blade-made/""","""Built on a 1200 sqm plot, Blade Made playground is a refurbishment of an existing playground designed by Supersuse studio. The designers mapped the old site - which was in a derelict state and in urgent need of renovation - to carefully select elements that were appropriate for reuse. Using five decommissioned rotor blades placed around an existing concrete slab, they created a maze-like space with a pentagonal soccer pitch in the middle. The base of the blades were used as four towers, each with their own character. The cut off parts were spread around the garden to connect the towers, where the net in between them provides an opportunity for climbing. Stainless steel slides and the tiles of the pavement were also subject to reuse; the tiles were set up vertically, reducing the total surface to transform the stoney playground into a wood chip ground cover that is better equipped for heavy rainfall."""
"""Smart Design Studio""","""Smart Design Studio""","""2020""","""Alexandria, Australia""","""oceania""","""project""","""site, technical metabolism""","""https://www.sustainablebuildingawards.com.au/wp-content/uploads/2021/09/1500x10003-1.jpg""","""https://www.sustainablebuildingawards.com.au/best-adaptive-reuse-2021/smart-design-studio/, https://www.archdaily.com/976415/smart-design-studio-offices-smart-design-studio?ad_medium=office-landing&ad_name=featured-image""","""Smart Design Studio, located in Alexandria, Australia, is an office space that reuses a single storey industrial warehouse to transform it to a mixed use (residential and commercial) building. The adaptive reuse of the pre-existing post-war building was the start of the development of the North Alexandria Industrial Heritage Conservation Area - a great majority of the buildings on the site are a mix of industrial buildings and warehouses. The majority of the original building was restored, such as the roof and the brick facades. New construction attempted to use similar materials but improved the method of construction to enhance comfort and usability. This enabled the office space to become a carbon netural building that could minimise the amount of waste generated."""
